StCoFIPS,hw1_min_frequency,hw1_min_duration,hw1_min_intensity,hw1_mean_frequency,hw1_mean_duration,hw1_mean_intensity,hw1_max_frequency,hw1_max_duration,hw1_max_intensity,hw3_min_frequency,hw3_min_duration,hw3_min_intensity,hw3_mean_frequency,hw3_mean_duration,hw3_mean_intensity,hw3_max_frequency,hw3_max_duration,hw3_max_intensity,hw5_min_frequency,hw5_min_duration,hw5_min_intensity,hw5_mean_frequency,hw5_mean_duration,hw5_mean_intensity,hw5_max_frequency,hw5_max_duration,hw5_max_intensity
01001,80,2.05,24.114704265873016,71,2.267605633802817,28.02144640062598,109,1.4770642201834863,34.3217874617737,16,5.375,24.34508382936508,20,4.95,28.206884722222224,15,3.533333333333333,34.70565555555556,7,8.142857142857142,24.45531065759637,11,6.181818181818182,28.308805555555555,2,5,34.697
01003,68,2.3676470588235294,25.624121417797888,68,2.3823529411764706,28.401869047619048,107,1.514018691588785,33.676928348909655,15,5.733333333333333,25.790017094017095,20,4.75,28.538354761904763,12,4,33.96886111111111,7,8.142857142857142,25.868608058608057,7,6.857142857142857,28.775180272108845,5,5.2,34.08226666666667
01005,69,2.347826086956522,24.039058776167472,64,2.546875,27.942808035714286,97,1.6597938144329898,34.285193667157586,15,6.2,24.289003703703703,20,5.15,28.141235714285713,17,3.8823529411764706,34.61169327731093,7,9.571428571428571,24.469531746031745,11,6.454545454545454,28.22792857142857,4,6,34.80407142857143
01007,75,2.16,23.87203142857143,67,2.4029850746268657,28.109596304193317,102,1.5784313725490196,34.412037581699344,15,5.6,24.13582380952381,21,4.9523809523809526,28.30966439909297,15,3.7333333333333334,34.622188888888886,7,7.571428571428571,24.234503401360545,11,6.363636363636363,28.466632034632035,3,5,34.89066666666667
01009,77,2.103896103896104,23.27018476977568,71,2.3098591549295775,27.49015174379611,101,1.5940594059405941,33.77906435643564,17,5.117647058823529,23.554660427807487,21,4.761904761904762,27.702893990929706,14,3.5,34.06825,8,7.25,23.616361742424242,9,6.777777777777778,27.883974867724866,2,5,34.444
01011,77,2.103896103896104,23.72823335394764,72,2.236111111111111,27.704079475308642,111,1.4684684684684686,34.184354354354355,15,5.733333333333333,24.015597883597884,19,4.684210526315789,27.938090643274855,15,3.3333333333333335,34.56788888888889,6,9.666666666666666,24.194550264550266,7,6.714285714285714,28.147555555555556,0,NA,NA
01013,68,2.3970588235294117,24.037976715686273,65,2.476923076923077,28.02574871794872,101,1.5940594059405941,34.48406600660066,17,5.882352941176471,24.21631862745098,25,4.24,28.132346666666667,15,3.7333333333333334,34.86271111111111,10,7.5,24.320741666666667,8,6.625,28.328166666666668,2,5,34.847
01015,58,2.2413793103448274,23.1976381922675,57,2.3157894736842106,27.295991019214703,89,1.449438202247191,33.67608426966292,13,5.6923076923076925,23.43792424242424,17,4.529411764705882,27.540969887955182,10,3.4,33.84615,7,7.857142857142857,23.530549783549784,6,6.833333333333333,27.575803571428573,1,5,33.784
01017,74,2.189189189189189,23.4420688984439,69,2.347826086956522,27.527413388543824,107,1.5046728971962617,33.79733644859813,15,5.933333333333334,23.785206565656566,21,4.857142857142857,27.692691609977324,11,3.4545454545454546,34.13090909090909,8,8.375,23.81642897727273,12,5.833333333333333,27.853460317460318,0,NA,NA
01019,60,2.1666666666666665,23.508791125541126,59,2.23728813559322,27.600035647027173,90,1.4444444444444444,33.94059074074074,15,5,23.739164502164503,20,4.2,27.82935515873016,9,3.5555555555555554,34.143685185185184,7,7.142857142857143,23.778209647495363,7,6,27.950657596371883,1,5,34.454
01021,73,2.232876712328767,23.63641041036589,66,2.4545454545454546,27.798736291486293,109,1.4862385321100917,34.14237920489297,15,5.866666666666666,23.83719733044733,22,4.636363636363637,27.95666341991342,15,3.6666666666666665,34.39962222222222,7,8.857142857142858,23.99387523191095,10,6.3,28.13057619047619,2,5,34.678
01023,68,2.3823529411764706,24.36141176470588,70,2.357142857142857,28.35325306122449,105,1.542857142857143,34.82243174603175,21,4.809523809523809,24.516000000000002,24,4.416666666666667,28.535529761904762,12,4.166666666666667,35.08336111111111,11,6.181818181818182,24.610242424242426,7,6.571428571428571,28.632054421768707,3,6,35.26566666666667
01025,64,2.53125,24.487920014880952,69,2.347826086956522,28.312965148378193,99,1.6262626262626263,34.737449494949495,23,4.6521739130434785,24.61529917184265,22,4.409090909090909,28.486345238095236,13,3.923076923076923,35.074807692307694,9,6.555555555555555,24.70789417989418,6,6.666666666666667,28.63368253968254,2,7,34.823750000000004
01027,59,2.1864406779661016,23.02929441744696,62,2.0806451612903225,27.163642857142857,90,1.4333333333333333,33.51367777777778,14,5.285714285714286,23.350955044955047,15,4.733333333333333,27.434390476190476,9,3.4444444444444446,33.85066666666667,7,7.428571428571429,23.35310056610057,7,6.142857142857143,27.5021462585034,2,5,33.688
01029,59,2.1864406779661016,22.920358500256807,55,2.3454545454545452,27.028813636363637,92,1.4130434782608696,33.5102518115942,13,5.153846153846154,23.21893473193473,16,5,27.287484375,11,3.3636363636363638,33.733015151515154,6,7.666666666666667,23.275469696969697,8,6.625,27.355072916666664,1,5,33.724
01031,80,2.05,24.063196875,72,2.2916666666666665,27.788387896825398,103,1.5631067961165048,34.27142394822006,17,5.0588235294117645,24.271808823529412,20,4.85,27.98344642857143,13,4.153846153846154,34.6224358974359,7,7.857142857142857,24.492488095238095,8,7.375,28.17247023809524,4,5.5,34.68666666666667
01033,79,2.088607594936709,23.701653241273494,64,2.5625,27.818511098710317,101,1.603960396039604,34.04908250825083,17,5.176470588235294,23.917682709447416,18,5.5,28.093317239858905,16,3.6875,34.38014583333333,8,7.25,24.06038825757576,11,6.818181818181818,28.236185786435787,3,6,34.652166666666666
01035,71,2.267605633802817,24.280517773306507,72,2.263888888888889,28.11278587962963,102,1.588235294117647,34.59870926704015,17,5.588235294117647,24.535397759103642,21,4.380952380952381,28.27050396825397,14,4.142857142857143,34.87738180272109,8,8.125,24.643553571428573,6,7.333333333333333,28.584541666666667,3,6.666666666666667,35.05139285714286
01037,76,2.1315789473684212,23.5350514354067,74,2.2162162162162162,27.55986739011739,105,1.542857142857143,33.82026825396825,17,5.0588235294117645,23.80170053475936,21,4.666666666666667,27.781199374699376,16,3.375,33.96613541666667,7,7.428571428571429,23.99555844155844,7,7.285714285714286,27.9372886002886,2,5,34.322
01039,78,2.076923076923077,24.242485625485624,72,2.2777777777777777,27.97708831369248,107,1.514018691588785,34.494166666666665,15,5.533333333333333,24.482925252525252,17,5.0588235294117645,28.15472697563874,12,3.75,34.871319444444445,6,9,24.6752297979798,7,7.714285714285714,28.331003607503607,2,5,35.165
01041,71,2.267605633802817,23.97425821596244,72,2.236111111111111,27.890740630511463,104,1.5576923076923077,34.34300801282051,16,5.6875,24.193270833333333,21,4.428571428571429,28.039444066515497,14,4.071428571428571,34.68020238095238,8,7.75,24.312791666666666,7,6.714285714285714,28.335832199546484,4,5.75,34.6755
01043,80,2.0125,23.228922456709956,65,2.4923076923076923,27.432538881706527,98,1.6428571428571428,33.65889455782313,18,5,23.447433140933143,21,5.0476190476190474,27.612858443377352,17,3.4705882352941178,33.958333333333336,8,7.25,23.520474567099566,9,7.555555555555555,27.70963266417678,2,5,34.19
01045,78,2.1025641025641026,24.12803418803419,70,2.3142857142857145,27.82299319727891,111,1.4504504504504505,34.25371621621622,17,5.176470588235294,24.35333333333333,22,4.7727272727272725,27.98702380952381,11,4.090909090909091,34.758863636363635,6,8.833333333333334,24.58361111111111,8,7.625,28.20285714285714,3,5.333333333333333,34.75888888888889
01047,66,2.4393939393939394,24.30554335016835,70,2.3,28.3617193877551,105,1.542857142857143,34.73446825396825,19,5.421052631578948,24.518466374269007,24,4.375,28.540848214285713,13,3.6923076923076925,35.009935897435895,10,7.4,24.544752777777777,11,5.818181818181818,28.704805194805196,2,5,35.41
01049,74,2.22972972972973,22.621302767052768,70,2.3142857142857145,26.7513052154195,109,1.4954128440366972,32.95089449541285,19,5.105263157894737,22.914547619047617,22,4.636363636363637,26.96665295815296,12,3.9166666666666665,33.28854166666667,9,7.333333333333333,22.954507936507937,9,6.444444444444445,27.152929453262786,3,5,33.473333333333336
01051,77,2.116883116883117,24.102830241187384,79,2.050632911392405,28.018549125979504,107,1.5046728971962617,34.24220872274143,15,5.733333333333333,24.36052857142857,19,4.631578947368421,28.262388471177946,15,3.533333333333333,34.52075555555555,6,9,24.532710317460317,11,5.454545454545454,28.364428571428572,2,5,34.579
01053,58,2.2586206896551726,24.61304690424518,57,2.280701754385965,28.22708918128655,89,1.449438202247191,34.79963483146067,16,4.9375,24.822295027888778,15,4.666666666666667,28.426938888888888,10,3.3,35.03125,4,9,24.92522177822178,6,7,28.683875,1,5,34.7
01055,75,2.1733333333333333,23.37978835016835,69,2.36231884057971,27.59442345295606,104,1.5480769230769231,33.98260416666667,16,5.6875,23.74650789141414,20,4.95,27.820260912698412,13,3.8461538461538463,34.15352564102564,8,8.125,23.737911616161615,10,6.6,27.936105158730157,3,5.333333333333333,34.17166666666667
01057,71,2.295774647887324,23.703692849404117,63,2.5555555555555554,28.067543113541713,98,1.6428571428571428,34.3003537414966,19,5.105263157894737,23.772220647773278,22,4.818181818181818,28.262282552414906,12,4,34.68247222222222,7,8.571428571428571,23.93019413919414,8,7.5,28.41471451914099,3,5.666666666666667,35.086
01059,82,1.9634146341463414,23.3455780311064,62,2.629032258064516,27.523821873231466,96,1.6875,33.75252281746032,14,5.428571428571429,23.51981418219462,16,6.3125,27.74387225877193,15,3.933333333333333,34.1288126984127,5,9,23.774313043478262,11,7.636363636363637,27.790859649122808,4,5.75,34.54429761904762
01061,76,2.1578947368421053,24.348237207602338,67,2.4477611940298507,27.935218076285242,103,1.5728155339805825,34.380307443365695,17,5.352941176470588,24.5153545751634,20,5.05,28.072980555555556,14,3.7857142857142856,34.584404761904764,6,8.833333333333334,24.753921296296298,8,7.875,28.245993055555555,3,5.333333333333333,34.9
01063,64,2.53125,24.41982929830586,71,2.295774647887324,28.502300134138164,100,1.63,34.83533047619048,20,5.3,24.524703754578756,25,4.4,28.71793238095238,17,3.8823529411764706,35.14753221288515,8,8.125,24.645613553113552,10,5.8,28.88324761904762,5,5.4,35.28794285714286
